地区,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
全国,113274.2,114510.8,115563,116596.6,117673.7,118787.6,119866,120902.7,121818.1,122811.5,123922.2,124680.4
北京,1035.7,1042.9,1048.7,1056.9,1068.2,1077,1083.2,1092.3,1097.8,1106.2,1113.5,1127.9
天津,870.5,876.6,882.7,889.6,894.5,898.6,902.4,905.1,910.7,916.2,918.7,923.7
河北,6116.8,6183.2,6249.3,6309.6,6366,6420.5,6461,6508.1,6555.3,6602.2,6670.9,6702.5
山西,2845.2,2883.4,2919.1,2955.5,2990.9,3025.7,3059.2,3091.3,3113.3,3145.1,3196.2,3220.3
内蒙古 ,2149.4,2164.8,2178.5,2198,2217.4,2237.2,2263,2288.5,2310.2,2329.5,2300.9,2319.2
辽宁,3917.4,3938.5,3957.9,3982.9,4007.2,4034,4056.8,4077.1,4090.4,4103.2,4135.3,4147
吉林,2440.2,2459.7,2474,2496.1,2515.6,2550.9,2579.1,2600.1,2603.2,2616.1,2627.3,2637.1
黑龙江 ,3488.9,3510.7,3526.2,3538.9,3557.6,3576.8,3605.1,3628.5,3642,3660.8,3698.1,3715.4
上海,1283.4,1287.2,1289.4,1294.7,1298.8,1301.4,1304.4,1305.5,1306.6,1313.1,1321.6,1327.1
江苏,6671.7,6733.9,6767.5,6800.7,6831.3,6868.4,6908.1,6948.4,6983.1,7009.1,7069.3,7097
浙江,4235.9,4261.4,4285.9,4313.3,4341.2,4369.6,4400.1,4422.3,4446.9,4467.5,4501.2,4519.8
安徽,5660.7,5744,5817.5,5870,5937.9,5999.6,6054,6109.2,6152.2,6205.5,6278.4,6325.2
福建,2999.8,3039,3066.9,3099.2,3126.9,3164.6,3210.6,3237.1,3260.8,3283.6,3304.6,3321
江西,3761.4,3801.9,3827,3857.2,3893.7,3938.6,3981,4026,4070.6,4117,4164.5,4212
山东,8423.6,8534,8579.8,8620.4,8652.6,8701.2,8747,8809.7,8871.5,8921.7,8975.5,9024
河南,8564.4,8687,8811.5,8914.6,9005,9108.8,9203.1,9292.7,9373.7,9446.3,9526.5,9603.2
湖北,5373.5,5446.8,5513.6,5590.5,5656.8,5727.1,5776.4,5838.8,5890.6,5942.5,5936,5956.7
湖南,6110.6,6167,6209.2,6248,6305.9,6356.7,6403.9,6444.1,6482.2,6520.6,6515.5,6539.8
广东,6246.3,6349,6463.2,6581.6,6691.5,6788.7,6896.8,7013.7,7115.6,7298.9,7498.5,7565.3
广西,4241.6,4294.5,4359.4,4408.8,4455.1,4502.1,4545.5,4588.5,4622.2,4657.6,4723.6,4758
海南,651.2,661.5,671.3,681.8,691.4,702.4,714.1,724.5,733.3,743.2,760.9,769.5
四川,10813.4,10886.8,10942.9,11022.4,11084.3,11162.9,11238.2,8264.7,8315.7,8358.6,8407.5,8436.6
贵州,3237,3271.4,3301,3332.3,3380.6,3419.5,3459.5,3495.5,3536.5,3582,3676.6,3710.2
云南,3694.5,3734.7,3767.1,3802.1,3837.1,3873.5,3909.4,3944.6,3983.3,4018.4,4076.6,4106.7
西藏,218.1,221.8,225.3,228.9,232,235.6,239.3,242.7,245.4,247.7,251.2,253.7
陕西,3275,3309.9,3340.3,3369.7,3401.6,3431.9,3457.7,3482.7,3501.1,3519.2,3572.2,3589.5
甘肃,2229.9,2258,2288.1,2318.6,2352.4,2388.4,2427.8,2456.6,2483.6,2507.4,2533.7,2550.7
青海,434.8,439.4,443.1,446.3,451,456.2,462.6,466.5,470.3,473.2,480.4,483.5
宁夏,465.7,473.8,482.3,490.9,503.9,512.4,521.2,528.9,536.6,543.3,554.3,566
新疆,1498.7,1528,1554.1,1577.1,1605.3,1637.3,1675.6,1705.8,1733.6,1763.4,1791.5,1823.9